category	audio_prompt
sitting_panites	Woman moaning. A woman with a breathy high-pitched voice slowly caresses her inner thighs, moaning softly mmh~ in a teasing, seductive tone, head tilted up, body writhing, shallow panting
standing_panties	Woman moaning. A young Asian woman with a breathy high-pitched voice slowly lifts her skirt, fabric rustling softly, moaning ahh~ in a teasing tone as she reveals her sheer panties, shallow panting, body swaying seductively.
standing_panties	Woman moaning. A young Asian woman stands, her voice soft and nasal, gradually parting her legs with light fabric shifts, whispering mmh~ seductively, head tilted up, aroused breathing quickening.
standing_butt	Woman moaning. A young Asian woman with a deep throaty voice turns her back, slowly pulling down her pants with zipper sounds, moaning ungh~ teasingly as she reveals her butt, body arching, heavy open-mouth breathing.
standing_butt	Woman moaning. A young Asian woman faces away, breathy mid-pitch voice, easing her clothing down inch by inch with soft fabric slides, letting out haah~ in a sultry tone, glancing over shoulder, shaky post-tease panting.
oral	Oral sex.A young Asian woman with a high-pitch nasal voice kneels, performing oral with wet slurping gluck shlop sounds, moaning mmh~ around him, shallow panting between sucks, seductive gagging lightly.
oral	Oral sex.A young Asian woman in oral, breathy voice, slow deep motions with slurp pop noises, whispering chupu~ teasingly, head bobbing rhythmically, gasping for air, aroused moans building.
cowgirl	Cowgirl postion.A young Asian woman with breathy high-pitch voice in cowgirl, slowly lowering with wet sliding sounds, moaning ahhh~ seductively as she rides, body grinding, shallow panting, hips rocking rhythmically.
cowgirl	Cowgirl postion.A young Asian woman mounts in cowgirl, nasal mid-pitch, easing down with haah~ breaths, grinding with skin-slap echoes, head tilted back, twisting body with sultry mmh~ moans.
masturbation	Masturbation. A young Asian woman with high-pitch breathy voice masturbates, fingers gliding with wet shlop sounds, moaning kyaa~ teasingly, head up, body writhing, rapid shallow panting building to peak.
masturbation	Masturbation. A young Asian woman touches herself, soft throaty voice, slow caresses with light slrrp~ friction, whispering en~ seductively, undulating body, heavy breathing with needy whimpers.
doggy	Doggy style sex. A young Asian woman in doggy, breathy high-pitch voice, arching back with skin-slap clap clap rhythms, moaning unghh~ deeply, head turned back, body shaking, gasping breaths between thrusts.
doggy	Doggy style sex. A young Asian woman on all fours in doggy, nasal voice, gradual thrusts with slap haah sounds, letting out ahh! sharply, twisting hips, heavy open-mouth panting, seductive growls.
missionary	Missionary sex. Woman moaning, breathing heavily.
missionary	Missionary sex. A woman throaty mid-pitch, deep motions with haa~ exhales, sultry moans.
kiss	Tongue kiss. A woman with breathy nasal voice , soft slrrp~ sounds, moaning mmph~
kiss	Tongue kiss. A woman deeply, high-pitch voice, wet chup slrrp~ noises, whispering haah~ 
missionary	Missionary sex. woman gasping moans. Sex pounding sounds. Intense, rapid skin-slapping impacts, wet rhythmic squelches, 